paintname,hex
Bunnythorpe Quarter,#f0e7d4
Bunnythorpe,#e2d3b8
Bunnythorpe Half,#eadec7
Awaroa,#deb29a
Rangitata,#e7b7a4
Port Hills,#e64d1b
Ōhakune,#ef9029
Kerikeri,#c06f32
Tokomaru Bay,#ac542d
Tītahi Bay,#e8c3ae
Rangitoto,#904433
Motueka,#c18562
Mangatainoka,#dc7842
Te Araroa,#97342c
Gimblett Rd,#773938
Ranfurly,#814c43
Prebbleton,#d1b6a7
Dunedin,#dcc5b9
Lauder,#a17a66
Borland,#906c5d
Tikitiki,#7a443a
Golden Springs,#f9f0ef
Mussel Point,#fee1da
Takapuna Beach,#bc4939
Whitianga,#e9b5a8
Kumutoto Half,#e7d8d4
Bland Bay,#bf9d91
Big Glory Bay,#da9284
Moncks Bay,#6a3a36
Pōhutu Geyser,#9f6e60
Tokaanu,#f4e6e5
Kaipara,#62403b
Redcliffs,#903b2f
Andersons Bay,#c77462
Tokerau Beach,#ffd4d1
Flat Point,#fd938f
Three Kings,#a14237
Double Cove,#f47369
Thornbury,#9b3934
Riccarton,#ffc6c2
Foxton Beach,#ffb6b2
Devils Staircase,#d43938
Colombo Street,#c92c2b
Whakapapa,#5b3e3c
Ōtautau,#e5cec9
Tokatoka,#b56f66
Vinegar Hill,#dba09e
Red Rocks,#8a3b34
Gordonton,#eed0cd
Āwhitu,#ffb4b4
Moutere,#76362e
Waimakariri River,#c9706a
Aratapu,#d5847e
Albany,#f6eef2
Wenderholm,#aa3030
Burkes Pass,#e6afb0
Whiritoa,#efcfd2
Ashburton,#e4898d
Kākānui,#94302f
Cherry Bay,#d16869
Morikau,#9e6a66
Point England,#f1dedd
Rangiora,#deb2af
Silo Park,#6b3938
Warkworth,#5e3e41
Snowdon Forest,#b98278
Devils Backbone,#7a3332
Hāwai,#e1c1c1
Richmond,#d9a5ac
Ruby Bay,#d18e8d
Passage Rock,#60352e
Crown Range,#eab2b3
Tikokino,#fad0d2
Hurunui,#bb5f63
Eastern Bush,#fbeceb
Millers Flat,#e5a0a1
K Road,#c84848
Ness Valley,#9a3335
Ettrick,#893737
Smugglers Bay,#e0c4c9
Punaromia Quarter,#dfd2ca
Punaromia,#c6b3a9
Scorching Bay,#ae3b3d
Horeke,#a49086
Roseneath,#c17c83
Red Post Junction,#664140
Winchester Half,#edd9d9
Greenlane,#d7b3ba
Ōhaeawai,#a86f64
Waimangu Valley,#f8eaed
Smugglers Bay Half,#e9d2d6
Hidden Valley,#efcfd2
Red Beach,#8c474d
Ellerslie,#ca798b
Welcome Bay,#a73944
Pandora,#f1c2c3
Gladstone Road,#b35968
Tauhara Park,#ab4d53
Mechanics Bay,#af9794
Garston Double,#e0d4cd
Tirimoana,#96827d
Kawerau,#806461
Gillespies Beach,#9b555f
Omaui,#8e3646
Tawa,#9f3649
Punaromia Double,#b39c90
Matakana,#87393b
Lake Hayes,#5f3935
Lake Grassmere,#a54c4e
Dargaville,#ac7b7b
Earthquake Flat,#845a4e
Bluff Hill,#d39f93
Ngāpuna,#c2a292
Roaring Meg,#be4c3e
Waverley,#793d29
Trentham,#d7c0ba
Ngawi,#8d4f4c
Kaitaia,#ae2b2f
Alexandra,#eed2cb
Red Jacks,#95352e
Oxford Terrace,#af3f42
Kelburn,#a85c60
Gibbston Valley,#68393d
Cashel Street,#e6a7ae
