paintname,hex
Mt Taranaki,#5d5041
Blackball,#685f56
Shoe Island,#887b6a
Te Kōpuru,#826e58
Kaimanawa Range,#e4d6be
Te Mata Peak,#a9896b
Urewera Half,#b6a28b
Stoke,#4d3b2d
Maratoto Rock,#745843
Urewera,#a08b71
Herald Island,#4e4136
Te Pūpūha Point,#6f6052
Nevis Valley,#897a66
Islington Bay,#635952
Western Springs,#897969
Cashmere,#b8b2a7
Hokitika,#947d68
Knuckle Point,#897968
Coalgate,#44372b
Tai Tapu,#423b35
Levin,#76655b
Carrick Range,#75615e
Mavora Quarter,#a7a296
Whanganui River,#94826f
Sandymount Half,#cebeac
Tongariro,#5d4c45
Woodville,#968577
Hopelands Half,#cbbeb3
Hopelands,#bbaca1
Kumeū,#403130
Black Giants,#72635e
The Iron Pot,#91776a
Pōkeno,#897570
Kaikorai Valley,#d0c8c4
Boggyburn,#615452
Fendalton,#b2a7a1
Hedgehope,#5e5453
Herne Bay,#7d746d
Westmere,#4b3d40
Hokonui Hills,#47373a
Khandallah,#3a3432
Mayor Island,#363231
Riwaka,#9c9387
Riwaka Half,#b0a79c
Ōamaru,#c6bdae
Pauātahanui,#958271
North Head,#b1a291
Ōhau,#e1ddd8
Molesworth,#bb9c7e
Maheno,#ded5c8
Kinleith Double,#cdbaa2
Mangaweka Quarter,#cdc4b5
Karekare,#8c8172
Maheno Double,#d4c8b9
Cumberland Street,#563b37
Hopelands Quarter,#d6cbc0
Hopelands Double,#a79689
Fendalton Half,#c1b8b1
Calm Peak,#dfc8aa
Diggers Valley,#83624f
King Country,#b6a494
Arrow Rock,#a89a89
Lindis Pass,#9f8d77
Karehana Bay,#a99683
Marokopa Falls,#826c59
Pauātahanui Half,#ac9c89
Pauātahanui Quarter,#b7ab9d
Hicks Bay,#e7e0d7
Whāngārā,#ded0c4
Waipukurau,#a38784
Riversdale,#9f9385
Rakaia Half,#aaa599
Mt Maunganui,#b7977c
Te Kaha,#d1c9be
Rakaia Double,#837b6e
Terrible Billy,#4f4b45
Rakaia,#938e83
Norsewood,#797268
Miramar,#544942
Mavora,#7b766d
Mangaweka,#a59e92
Laingholm,#59524a
Mangaweka Half,#b9b1a4
Mangaweka Double,#948977
Kohunui Bay,#aeafbb
Parkvale,#beb7bf
Gouland Downs,#c99f96
Havelock,#c4bdc3
Havelock Half,#d2cbd0
Mt Somers,#dfd9dc
Ōpunake,#594d54
Ngāruawāhia,#3d343f
Milton,#b5adb5
Diamond Harbour,#746a73
Amberley,#8d828c
Dusky Sound,#d4c5d5
Hickeys Mistake,#b3a3ba
Clarence River,#e7dee7
Tūrangi,#bcb3c3
Whangapē,#68546d
Rarawa Beach,#dcdce1
Virginia Lake,#51485c
Tuakau,#c6c5d9
Waitākeres,#9390b2
Lake Pūkaki,#736c8f
Ōrakei Kōrako Half,#dcd6e7
Moores Valley Road,#e7e1e8
Hāpuku,#b1a7cc
Katiki,#413450
Rabbit Island,#d0cce5
Tapanui,#705a89
The Pines Beach,#8e7baa
Outram,#42354f
Haunui Double,#e7e5e9
Koekohe Beach,#b2b0bd
Whangārei Heads,#737389
Lake Sumner,#525266
Tongapōrutu,#514e5c
Mossburn,#9d9fb3
Sawdon,#888aa0
Māngere Bridge,#d4d3e0
Mitre Peak,#36343f
Becks,#b9b6cb
Bishopdale,#928ea9
Kihikihi,#7e7793
42 Traverse,#c3c7d8
Waikuku,#686d92
Pukerua Bay,#5b546e
Nugget Point,#49465a
Lepperton,#3e4463
Pigeon Bay,#9ea8cf
Cricklewood,#777eb0
Petone,#7570a6
Tākaka,#b1b3c4
Purple Top Hill,#4b4976
Vulcan Lane,#5f5b91
Surfdale,#989aa7
Jacks Point,#838592
Benneydale,#5f616e
Takitimu Mountains,#bdc2cf
Ilam,#4d4d58
Lake Waikaremoana,#adb2c1
Raglan,#5e6377
Whangaroa,#3f4350
Pātea,#52383a
Aro Street,#c69eaf
Martinborough,#5b4149
Hātaitai,#824657
Mt Difficulty,#a67284
Te Atatū,#f1d3e0
Newmarket,#c67593
Danseys Pass,#70384d
Taradale,#e7b6ca
Parihaka,#f6e4ee
Vivian Street,#bd6886
Queen Street,#604e64
Middlemarch,#bcbac2
Kaikōura,#383c43
Lake Hauroko,#494e6c
Doubtful Sound,#423d4b
Denniston,#6a6c76
Waiomio Half,#d6d1dc
Gannet Island,#c2bdc2
West Plains,#ad969e
Waiomio,#c9c3d2
Sockburn,#d6afaf
Uretiti,#dc939b
Smugglers Bay Quarter,#eedddf
Ohoka,#cf9fab
Ōrakei Kōrako Quarter,#e5e0ec
Ngāuruhoe,#a198a2
Moawhango,#826f9f
Māpua,#ca9c9c
Kate Shepherd Place,#807db1
Kaiapoi,#8b818c
Manukau,#9695c5
Durie Hill,#9e9cab
Cape Palliser,#958a9f
Rāwhiti,#c2c3d2
Tītī Islands,#d7c1cd
Slipper Island,#8991b3
Russell,#2f3049
Napier,#b44970
Lake Aviemore,#b2b8d1
High Street,#a4334e
Cathedral Cove,#555c90
Ākitio,#624875
Kaituna,#856b72
Ōrakei Kōrako,#d1c9df
Five Fingers Peninsula,#697d89
Blue Pools,#b1c5cb
Murrays Bay,#7d94a2
Clifton,#6c939f
Mangawhai Heads,#3d8a96
Tuatapere,#31363b
Peep-O-Day,#383e44
Mt Cecil,#b2bbdb
Stirling Falls,#d1d7eb
Urupukapuka Half,#ccd6e9
Taiaroa Head,#d9dbdf
Urupukapuka,#bdc9e2
Hobsonville,#8290b1
Pūkawa,#6d758e
Springston,#3f414c
Pisa Moorings,#586880
Lake Tarawera,#606d8e
Moeraki,#39455c
Rothesay Bay,#49566b
Blueskin Bay,#4d5878
Twizel,#a9bcdd
Clutha,#94aad2
Pelorus Bridge,#5d74a9
Onerahi,#c9d7ed
Amodeo Bay,#495e93
Lake Alexandrina,#272e4e
Massey,#bec5d3
Blackhead Beach,#acb4c7
Tunnel Beach,#97a1b8
Lake Rotomahana,#3e4258
Lake Matheson,#4d546b
MacKinnon Pass,#828ca5
Sailors Cutting,#7a8da6
Onemana,#65768e
Spring Creek Half,#c8d5e7
Spring Creek,#b9c9e0
Cape Brett,#5172a0
Little Shoal Bay,#394f78
Blue Knob,#5a6c8c
Stilwell Bay,#b2c9e1
Lake Monowai,#9fbdda
Raetihi,#dce6eb
Birdlings Flat,#c6d8e8
Oneroa,#3c4965
Auckland Islands,#b2cdeb
Sumner,#9eb8d8
Huntly,#5075a9
Māhia,#89a6cd
Lake Harris,#b9c5d4
Mairangi Bay,#406194
Kairākau Beach,#a5b3c7
Kāwhia,#40495c
The Chasm,#929cac
Tauranga Bay,#7d8797
Lake Dunstan,#666f7f
Spectacle Lake,#526a81
Maketu,#5b7c9c
Mt Ward,#9eb8d0
Torpedo Bay,#405b78
Onetangi,#afc5d9
Hoopers Inlet,#6f8faf
Karioitahi Beach,#5782ae
Himatangi,#acc9e5
Separation Point,#84a9ce
East Beach,#3b618d
Lake Brunner,#303f55
Farewell Spit,#93c0e7
Campbells Bay,#d7ecf5
Lottin Point,#21446b
Lake Rotoiti,#33517b
Lochmara Bay Quarter,#cbe2f2
Methven,#619ed6
Lake Bright,#276aac
Hurstmere Road,#24589a
Paremata,#b7c5d3
Manapōuri,#0f4b8c
Balaena Bay,#91a2b5
Motukorea,#424b56
Knights Point,#5b6b7c
Tinopai,#7e8e9f
Port Fitzroy,#a6b5c5
Whakaipo Bay,#7598b8
Urenui,#67788a
Hot Water Beach,#8caac6
Ōhaupō,#2f3a46
Quay Street,#8da5bd
French Farm Bay,#7baccf
Mercer,#2a3f52
Waipū Cove,#3f77a3
Whakatāne,#527698
Kaka Point,#6398bf
Mt Dobson,#e2f0f5
Castor Bay,#c9e5f4
Punchbowl Falls,#32628a
Tairua,#1e4769
Fox Glacier,#a4d8f2
Ōkiwi Bay,#007ebe
Clifford Bay,#065183
Tapeka Beach,#6cbee7
Lake Taylor,#2a9dd5
Lake Karapiro,#005183
Five Fingers Peninsula Quarter,#96a6b2
Lake Mangamahoe,#3c4b56
Coal Island,#414a58
Island Bay,#a1bad2
Bridal Veil Falls,#7cc5de
Motukiekie Island,#5e88a6
Parakai,#abd0e0
Gulf Harbour,#b4c8db
Pākiri,#47a6c5
Canoe Bay,#dcf0f2
Goat Island,#105974
Taylors Mistake,#0d7c9f
Hole in the Rock,#0c4761
Catalina Bay,#c6e8ee
Lake Coleridge,#0a97bf
Ōpoutere,#a6d5e9
Lake Angelus,#36a9ce
Firth of Thames,#75c9e7
Lake Rotoma,#75929a
Houghton Bay,#0081ac
Lake Taupō,#00638b
Plimmerton,#005479
Lake Heron,#b8cfd9
Karori,#313b40
Whangaparāoa,#a3bfcd
Browns Bay,#425860
Charteris Bay,#a1c4cf
Big Bay,#c4dbdb
Lake Ellesmere,#6eb2be
Lyall Bay,#9dd0d8
Makaka Bay,#5d8c9b
Port Jackson,#354a54
O'Neills Bay,#d7f0f0
Kohimarama,#a6dee3
French Bay,#266973
Ocean View Beach,#194356
Dart River,#c8ebec
Watchman Island,#00718d
Lake Hood,#006684
Mārahau,#0094a9
Waiwera,#7fcfe2
Big Lagoon,#005c6d
Huka Falls,#6799a2
Lake Wardell,#7babb3
Adele Island,#b1d9db
Ōtaki Forks,#2e4e5b
Split Apple Rock,#c4ebe9
The Bubble,#7495b3
Selwyn,#294d6e
Lochmara Bay,#9dcce8
Whakakī Lagoon,#c1d4d6
Ōpua,#5193c4
North Cape,#8ca9b9
Caversham,#384669
Tutukaka,#303c40
Five Fingers Peninsula Half,#81939e
Black Reef,#2e4652
Moonlight Creek,#2a3249
Catseye Bay,#007d9b
All Day Bay,#425f9b
Mansion House Bay,#3fb4cf
Pūkaki Quarter,#cdd2ce
Rangitīkei River Quarter,#9ea8a8
Musick Point,#7d96c6
Lake Hāwea,#4a525c
Hahei,#a3b9ce
Cockle Bay,#dce0ef
Pūkaki Double,#989e98
Rangitīkei River Half,#8a9593
Mission Bay,#355b78
Kenepuru Sound,#2a3b51
Kellands Pond,#1f3665
Hauraki Gulf,#3f525e
Waioeka,#526d75
Ruakākā,#487584
Rangitīkei River,#6f7d80
Pūkaki Half,#bdc3be
Puhoi,#a0b2b9
Pūkaki,#abb2af
Poor Knights,#2b3746
Oriental Bay,#bbd0de
Lake Camp,#9bb4bc
Lake Tekapō,#51a8bf
George Street,#006bac
Cook Strait,#386168
Cooks Beach,#9bbdc3
Puhoi Half,#b4c2c7
Heaphy Track,#75917f
Waitangi Quarter,#d7d2c6
Queenstown Hill,#71845e
Kaitoke Beach,#0e4e4d
Apple Tree Bay,#c6dfde
Manu Bay,#77aca9
Pinehaven,#31817e
Mt Victoria,#51a1a1
Harihari,#eaf7f2
Kawau Island,#16a5a6
Cable Bay,#008487
Roberton Island,#7acdd0
Herbertville Beach,#96d9db
Ōakura,#59bfc2
Tīmaru,#006569
Ngātaringa Bay,#b4c2b6
Tauherenīkau,#a0b0a3
Remutaka Range,#8c9d8e
Sugarloaf Island Half,#d1dbd2
Long Harry Bay,#5a665c
Ōkete,#2c464a
Wiroa Island,#4c6a67
Morison Bush Half,#cde5dd
Punakaiki,#95b6b4
Chatto Creek,#2b645d
