paintname,hex,place,modifier,longitude,latitude
Himatangi,#acc9e5,Himatangi,,175.3172905,-40.3899367
Separation Point,#84a9ce,Separation Point,,174.139104,-41.314183
East Beach,#3b618d,East Beach,,173.178023,-34.859788
Lake Brunner,#303f55,Lake Brunner,,171.4400701,-42.6164359
Farewell Spit,#93c0e7,Farewell Spit,,172.9704706,-40.5311441
Campbells Bay,#d7ecf5,Campbells Bay,,174.7619515,-36.7454921
Lottin Point,#21446b,Lottin Point,,178.171778,-37.533667
Lake Rotoiti,#33517b,Lake Rotoiti,,172.8417145,-41.8348349
Lochmara Bay Quarter,#cbe2f2,Lochmara Bay,Quarter,174.0015923,-41.2305332
Methven,#619ed6,Methven,,171.6472608,-43.6324332
Lake Bright,#276aac,Lake Bright,,167.1425186,-45.6910638
Hurstmere Road,#24589a,Hurstmere Road,,174.7735343,-36.7840977
Paremata,#b7c5d3,Paremata,,174.869541,-41.0976075
Manapōuri,#0f4b8c,Manapōuri,,167.6133964,-45.5651472
Balaena Bay,#91a2b5,Balaena Bay,,174.8036808,-41.2923578
Motukorea,#424b56,Motukorea,,174.8955646,-36.8313639
Knights Point,#5b6b7c,Knights Point,,169.2248,-43.713104
Tinopai,#7e8e9f,Tinopai,,174.2421754,-36.24968
Port Fitzroy,#a6b5c5,Port Fitzroy,,175.3637436,-36.1638478
Whakaipo Bay,#7598b8,Whakaipo Bay,,175.947335,-38.6954873
Urenui,#67788a,Urenui,,174.3877931,-38.9971291
Hot Water Beach,#8caac6,Hot Water Beach,,175.8235659,-36.889811
Ōhaupō,#2f3a46,Ōhaupō,,175.307047,-37.919078
Quay Street,#8da5bd,Quay Street,,174.7744263,-36.8452645
French Farm Bay,#7baccf,French Farm Bay,,172.9142877,-43.7773592
Mercer,#2a3f52,Mercer,,175.0485015,-37.2765715
Waipū Cove,#3f77a3,Waipū Cove,,174.504229,-36.0287842
Whakatāne,#527698,Whakatāne,,176.9945977,-37.9519223
Kaka Point,#6398bf,Kaka Point,,168.175797,-47.052924
Mt Dobson,#e2f0f5,Mt Dobson,,169.757177,-43.9218555
Castor Bay,#c9e5f4,Castor Bay,,174.7671369,-36.7587345
Punchbowl Falls,#32628a,Punchbowl Falls,,171.5682515,-42.9328032
Tairua,#1e4769,Tairua,,175.850199,-36.999928
Fox Glacier,#a4d8f2,Fox Glacier,,170.1386966,-43.5170284
Ōkiwi Bay,#007ebe,Ōkiwi Bay,,173.6581263,-41.1120967
Clifford Bay,#065183,Clifford Bay,,174.1872342,-41.6456588
Tapeka Beach,#6cbee7,Tapeka Beach,,174.1206511,-35.245904
Lake Taylor,#2a9dd5,Lake Taylor,,172.2298225,-42.7658239
Lake Karapiro,#005183,Lake Karapiro,,175.6589765,-37.9886514
Five Fingers Peninsula Quarter,#96a6b2,Five Fingers Peninsula,Quarter,166.496556,-45.702944
Lake Mangamahoe,#3c4b56,Lake Mangamahoe,,174.1226506,-39.1246889
Coal Island,#414a58,Coal Island,,166.6270102,-46.1181615
Island Bay,#a1bad2,Island Bay,,174.7716525,-41.3323139
Bridal Veil Falls,#7cc5de,Bridal Veil Falls,,174.8966745,-37.9086008
Motukiekie Island,#5e88a6,Motukiekie Island,,174.203238,-35.2177607
Parakai,#abd0e0,Parakai,,174.4331289,-36.6604127
Gulf Harbour,#b4c8db,Gulf Harbour,,174.7925871,-36.6190238
Pākiri,#47a6c5,Pākiri,,174.7274706,-36.2643963
Canoe Bay,#dcf0f2,Canoe Bay,,173.0479955,-40.8528458
Goat Island,#105974,Goat Island,,170.6259739,-45.8242514
Taylors Mistake,#0d7c9f,Taylors Mistake,,172.7793067,-43.5819873
Hole in the Rock,#0c4761,Hole in the Rock,,174.8332446,-41.3299155
Catalina Bay,#c6e8ee,Catalina Bay,,174.6722037,-36.7918725
Lake Coleridge,#0a97bf,Lake Coleridge,,171.532599,-43.365964
Ōpoutere,#a6d5e9,Ōpoutere,,175.8699151,-37.1096042
Lake Angelus,#36a9ce,Lake Angelus,,172.7459764,-41.8869663
Firth of Thames,#75c9e7,Firth of Thames,,175.4079915,-37.0417475
Lake Rotoma,#75929a,Lake Rotoma,,176.589625,-38.0438754
Houghton Bay,#0081ac,Houghton Bay,,174.7878218,-41.3382326
Lake Taupō,#00638b,Lake Taupō,,175.9311663,-38.806535
Plimmerton,#005479,Plimmerton,,174.8652978,-41.0819811
Lake Heron,#b8cfd9,Lake Heron,,171.1896475,-43.4411539
Karori,#313b40,Karori,,174.7387671,-41.2845495
Whangaparāoa,#a3bfcd,Whangaparāoa,,174.7214003,-36.6202718
Browns Bay,#425860,Browns Bay,,174.7481983,-36.7156283
Charteris Bay,#a1c4cf,Charteris Bay,,172.708298,-43.6487828
Big Bay,#c4dbdb,Big Bay,,174.6424431,-37.0478489
Lake Ellesmere,#6eb2be,Lake Ellesmere,,172.5077026,-43.7866957
Lyall Bay,#9dd0d8,Lyall Bay,,174.8023227,-41.3384099
Makaka Bay,#5d8c9b,Makaka Bay,,174.5294577,-37.0318543
Port Jackson,#354a54,Port Jackson,,175.3388586,-36.4853909
O'Neills Bay,#d7f0f0,O'Neills Bay,,174.7667011,-36.821443
Kohimarama,#a6dee3,Kohimarama,,174.8368338,-36.8545594
French Bay,#266973,French Bay,,174.6615039,-36.9477714
Ocean View Beach,#194356,Ocean View Beach,,170.3414733,-45.9411115
Dart River,#c8ebec,Dart River,,172.6454411,-41.5076571
Watchman Island,#00718d,Watchman Island,,174.7319518,-36.8350208
Lake Hood,#006684,Lake Hood,,171.773739,-43.9660958
Mārahau,#0094a9,Mārahau,,173.0086156,-41.0061336
Waiwera,#7fcfe2,Waiwera,,174.7069809,-36.5448557
Big Lagoon,#005c6d,Big Lagoon,,174.1029347,-41.5457512
Huka Falls,#6799a2,Huka Falls,,176.0899194,-38.648754
Lake Wardell,#7babb3,Lake Wardell,,170.1231641,-44.1967315
Adele Island,#b1d9db,Adele Island,,173.0596341,-40.9805942
Ōtaki Forks,#2e4e5b,Ōtaki Forks,,175.2337304,-40.8679788
Split Apple Rock,#c4ebe9,Split Apple Rock,,173.0202219,-41.0183173
The Bubble,#7495b3,The Bubble,,174.7645975,-36.8500193
Selwyn,#294d6e,Selwyn,,172.2277522,-43.6495222
Whakakī Lagoon,#c1d4d6,Whakakī Lagoon,,177.5570454,-39.0444692
Ōpua,#5193c4,Ōpua,,174.121422,-35.3126314
North Cape,#8ca9b9,North Cape,,173.0519725,-34.4160018
Caversham,#384669,Caversham,,170.4810145,-45.895911
Tutukaka,#303c40,Tutukaka,,174.5244347,-35.6083254
Black Reef,#2e4652,Black Reef,,177.0819868,-39.6319878
Moonlight Creek,#2a3249,Moonlight Creek,,168.6382026,-44.9640072
Catseye Bay,#007d9b,Catseye Bay,,167.3902009,-44.8108577
All Day Bay,#425f9b,All Day Bay,,170.892618,-45.205144
Mansion House Bay,#3fb4cf,Mansion House Bay,,174.8190021,-36.4292764
Pūkaki Quarter,#cdd2ce,Pūkaki,Quarter,170.1742311,-44.0477609
Rangitīkei River Quarter,#9ea8a8,Rangitīkei River,Quarter,175.8152587,-39.7665195
Musick Point,#7d96c6,Musick Point,,174.9010348,-36.8463582
Lake Hāwea,#4a525c,Lake Hāwea,,169.3256696,-44.439223
Hahei,#a3b9ce,Hahei,,175.802826,-36.8402447
Cockle Bay,#dce0ef,Cockle Bay,,174.9430254,-36.9001875
Pūkaki Double,#989e98,Pūkaki,Double,170.2084302,-44.2673982
Mission Bay,#355b78,Mission Bay,,174.831802,-36.848267
Kenepuru Sound,#2a3b51,Kenepuru Sound,,174.0533924,-41.1896102
Kellands Pond,#1f3665,Kellands Pond,,170.0662911,-44.2986831
Hauraki Gulf,#3f525e,Hauraki Gulf,,175.0915832,-36.7060245
Waioeka,#526d75,Waioeka,,177.2886944,-38.0549003
Ruakākā,#487584,Ruakākā,,174.4557066,-35.8754355
Pūkaki Half,#bdc3be,Pūkaki,Half,170.1461233,-44.1903149
Puhoi,#a0b2b9,Puhoi,,174.6611196,-36.5120922
Pūkaki,#abb2af,Pūkaki,,170.9302221,-42.826532
Poor Knights,#2b3746,Poor Knights,,174.7411196,-35.4810327
Oriental Bay,#bbd0de,Oriental Bay,,174.793919,-41.2918354
Lake Camp,#9bb4bc,Lake Camp,,171.0562569,-43.6149097
Lake Tekapō,#51a8bf,Lake Tekapō,,170.4777273,-44.0045194
George Street,#006bac,George Street,,174.7769715,-36.8632412
Cook Strait,#386168,Cook Strait,,174.5445093,-41.1976586
Cooks Beach,#9bbdc3,Cooks Beach,,175.7410613,-36.8382656
Puhoi Half,#b4c2c7,Puhoi,Half,174.705481,-36.51872
Heaphy Track,#75917f,Heaphy Track,,172.1840486,-40.9063806
Waitangi Quarter,#d7d2c6,Waitangi,Quarter,174.0803091,-35.2681528
Queenstown Hill,#71845e,Queenstown Hill,,168.6924181,-45.0086651
Kaitoke Beach,#0e4e4d,Kaitoke Beach,,175.4772238,-36.2432781
Apple Tree Bay,#c6dfde,Apple Tree Bay,,173.0391833,-40.9833168
Manu Bay,#77aca9,Manu Bay,,174.8174415,-37.8212333
Pinehaven,#31817e,Pinehaven,,175.0157222,-41.1616928
Mt Victoria,#51a1a1,Mt Victoria,,174.7943018,-41.296076
Harihari,#eaf7f2,Harihari,,170.5581948,-43.1479196
Kawau Island,#16a5a6,Kawau Island,,174.8635446,-36.4210864
Cable Bay,#008487,Cable Bay,,173.4767457,-34.9895479
Roberton Island,#7acdd0,Roberton Island,,174.1652304,-35.2326098
Ōakura,#59bfc2,Ōakura,,173.9953941,-39.1591235
Tīmaru,#006569,Tīmaru,,171.2509786,-44.3930254
Ngātaringa Bay,#b4c2b6,Ngātaringa Bay,,174.7799348,-36.81968
Tauherenīkau,#a0b0a3,Tauherenīkau,,175.3791022,-41.1189507
Remutaka Range,#8c9d8e,Remutaka Range,,175.0993839,-41.2676833
Sugarloaf Island Half,#d1dbd2,Sugarloaf Island,Half,173.3616115,-34.784533
Long Harry Bay,#5a665c,Long Harry Bay,,167.7906,-46.68985
Ōkete,#2c464a,Ōkete,,174.919982,-37.8054437
Wiroa Island,#4c6a67,Wiroa Island,,174.8076496,-37.0149859
Morison Bush Half,#cde5dd,Morison Bush,Half,175.4378414,-41.1197431
Punakaiki,#95b6b4,Punakaiki,,171.3353148,-42.1085542
Chatto Creek,#2b645d,Chatto Creek,,169.5092569,-45.1409431
Warrington,#a5d0c5,Warrington,,170.5925926,-45.7091034
Morison Bush,#bcdbd3,Morison Bush,,175.4885055,-41.1542428
D'Urville Island,#7bb5ac,D'Urville Island,,173.8696532,-40.817514
Hidden Falls,#e2f6ef,Hidden Falls,,168.1223868,-44.6302187
New Plymouth,#5ab9a1,New Plymouth,,174.0806474,-39.0579941
Ōtama Beach,#72c8b5,Ōtama Beach,,175.7631155,-36.7063847
Orewa,#b9e7db,Orewa,,174.6914965,-36.5857596
Cape Jackson,#349b7f,Cape Jackson,,174.3150978,-40.9938291
Ōmihi,#026b5a,Ōmihi,,172.8540953,-43.020694
One Tree Hill,#2d7f69,One Tree Hill,,174.7831302,-36.900172
Whakaari / White Island,#c9cbbf,Whakaari / White Island,,177.1814086,-37.5200619
Glendhu Bay,#a6ae9f,Glendhu Bay,,169.0150554,-44.673937
McKellar Saddle,#7e8574,McKellar Saddle,,168.1539736,-44.8509235
Motutapu Island,#5f655a,Motutapu Island,,174.9155763,-36.7633481
Arthur's Pass,#929585,Arthur's Pass,,171.5593933,-42.907413
Mt Messenger,#3d4844,Mt Messenger,,174.594361,-38.8939724
Katikati,#384e46,Katikati,,175.91541,-37.5522269
Ruahine,#6d9287,Ruahine,,176.0904272,-39.8858678
Yaldhurst,#c0d3ca,Yaldhurst,,172.5057082,-43.5127622
Gonville,#9bc2b3,Gonville,,175.027059,-39.9419197
Waiheke,#2c5c4d,Waiheke,,175.0883863,-36.7931083
Parnassus,#afd1c3,Parnassus,,173.2912573,-42.7117596
Rārangi,#85b2a0,Rārangi,,174.0432031,-41.3964098
Waimauku Half,#cee3d8,Waimauku,Half,174.4920607,-36.7692576
Waimārama,#4a5756,Waimārama,,176.9892201,-39.8158277
Cornwall Park,#b0e5c7,Cornwall Park,,174.7887202,-36.9009803
Sheerdown Peak,#dff2e3,Sheerdown Peak,,167.939058,-44.699325
Tinkertown,#474c48,Tinkertown,,168.00683,-45.956
Barrys Bay,#c2ebd0,Barrys Bay,,172.91183,-43.7608127
Purity Hut,#83d1a6,Purity Hut,,176.0563068,-39.8203028
Whangamatā,#9bdcb7,Whangamatā,,175.8719724,-37.2063323
Greta Valley,#3bb76f,Greta Valley,,172.9682943,-42.9640263
Kurow,#1e974e,Kurow,,170.4694561,-44.7338879
Winton,#61ba82,Winton,,168.3239863,-46.141439
Kārewa Island,#157951,Kārewa Island,,176.1313914,-37.5300053
Whitemans Valley Half,#d6d9cb,Whitemans Valley,Half,175.0899102,-41.1481595
Kohukohunui,#bfc0aa,Kohukohunui,,175.2194517,-37.0381219
Willow Flat,#a7aa9a,Willow Flat,,173.824829,-41.6748773
Musket Bay,#656756,Musket Bay,,167.8268832,-44.4900781
Casino Hut,#9db8aa,Casino Hut,,176.9087473,-38.3141069
Mangakino,#969984,Mangakino,,175.7695224,-38.3706391
Emerald Pools,#dbe3d1,Emerald Pools,,173.4614693,-41.3486666
Pureora,#567062,Pureora,,175.5256711,-38.354859
Wadestown,#c9e3cb,Wadestown,,174.7790775,-41.2647151
Pūrākaunui Bay,#88a495,Pūrākaunui Bay,,170.6232857,-45.7381008
Happy Valley,#32493c,Happy Valley,,174.7571462,-41.3313209
Avonhead,#aac4a6,Avonhead,,172.5563302,-43.5198723
Mōtū River,#cadbc7,Mōtū River,,177.6514209,-38.1466538
Grove Arm,#6eb476,Grove Arm,,173.954833,-41.261583
Chatham Islands,#3a533c,Chatham Islands,,-176.18734,-43.917534
Sandringham,#e4f5e1,Sandringham,,174.7368028,-36.892686
Wainuiomata,#52b960,Wainuiomata,,174.9171017,-41.3236408
Halswell,#b6dbbe,Halswell,,172.57058,-43.5855643
Glentui,#8fc39c,Glentui,,172.2778417,-43.219745
Geraldine,#a5d0ae,Geraldine,,171.2425898,-44.0921039
Shotover Street,#00834a,Shotover Street,,168.6590316,-45.0318389
Cossack Rock,#a9a594,Cossack Rock,,169.2435791,-52.5049616
Pāuanui,#93907f,Pāuanui,,175.8648118,-37.0242711
Ardmore,#95a28a,Ardmore,,174.9831104,-37.0333574
Gracefield,#2aaa41,Gracefield,,174.9169459,-41.2373917
Grahams Beach,#455338,Grahams Beach,,174.6619752,-37.0551776
Woods Creek,#bcc5b2,Woods Creek,,171.3570404,-42.5678443
Claris,#90a073,Claris,,175.4645657,-36.2440248
Tōtara Park,#ccd3c3,Tōtara Park,,175.0857771,-41.1079934
Cloudy Range,#757361,Cloudy Range,,173.2210546,-42.3741513
Hakatere,#d6e1c1,Hakatere,,171.7503327,-43.9024396
Ōtatara,#4a613a,Ōtatara,,168.28698,-46.43803
Inglewood,#9fd196,Inglewood,,174.2076017,-39.1562038
Okains Bay,#aabf8b,Okains Bay,,173.0424226,-43.7096655
Mt Sefton,#e7f1d0,Mt Sefton,,170.0421118,-43.6824551
Oakley Creek,#ebf7e8,Oakley Creek,,174.719485,-36.8976694
Mataī Falls,#c3e4bc,Mataī Falls,,169.4891044,-46.5030606
Hawke's Bay,#cff0cc,Hawke's Bay,,176.7611457,-39.5256512
Tiniroto,#62a348,Tiniroto,,177.5670433,-38.7734746
Wellsford,#cdd1bc,Wellsford,,174.523259,-36.2957426
Wai o Taiki Bay,#6eb54b,Wai o Taiki Bay,,174.8742742,-36.8712597
Mahora,#6cac58,Mahora,,176.8485063,-39.6255734
Eketāhuna,#8cc379,Eketāhuna,,175.7033205,-40.6466355
Flat Island,#6d6f57,Flat Island,,175.8675538,-36.7108082
Ōhiwa,#9b9e80,Ōhiwa,,177.1280821,-38.0109628
Martins Creek,#b1b49a,Martins Creek,,167.7762516,-46.9388582
Taieri,#4f513f,Taieri,,170.1394526,-45.5094643
Ngātea,#cfd79d,Ngātea,,175.4916548,-37.2757232
Pukekura Park,#8b8c6e,Pukekura Park,,174.0797393,-39.0648343
Burgess Park,#ecf3e5,Burgess Park,,174.1154368,-39.1065583
Te Puke,#97a263,Te Puke,,176.3270238,-37.7853294
Lake Waihola,#e3edc1,Lake Waihola,,170.0943026,-46.0146292
Waituna West,#c6cd87,Waituna West,,175.6399047,-40.0401431
Waimea,#e8f2c4,Waimea,,173.1945577,-41.2904483
Te Ahuahu,#d2e587,Te Ahuahu,,173.8412395,-35.3397357
Pohangina,#bfd75a,Pohangina,,175.7947468,-40.1707737
Waterfall Bay,#edf4d2,Waterfall Bay,,173.9664753,-41.2286668
Tiritea,#e1ebb1,Tiritea,,175.6556153,-40.4084146
The Pinnacles,#8aaf38,The Pinnacles,,175.2467736,-41.4468023
Karamea,#a6c348,Karamea,,172.1180199,-41.2487451
Mt Stevens,#505238,Mt Stevens,,172.451333,-40.793889
Wright Hill,#bebc99,Wright Hill,,174.7399726,-41.2961053
Tapora,#afb75f,Tapora,,174.3022535,-36.3523611
Tarras,#817c58,Tarras,,169.4259579,-44.8325138
St Bathans,#a2986a,St Bathans,,169.8111508,-44.8708134
Britomart,#babf6c,Britomart,,174.7691726,-36.8445568
Ashhurst,#8d974e,Ashhurst,,175.7557583,-40.2893295
Matauri Bay,#cdcc99,Matauri Bay,,173.9110995,-35.0339202
Naenae,#cacd40,Naenae,,174.9537984,-41.200486
Puysegur Point,#9c9380,Puysegur Point,,166.6084369,-46.1567277
Te Horo,#6d725a,Te Horo,,175.1233352,-40.808433
Raymonds Gap,#817b69,Raymonds Gap,,167.88734,-46.09471
Waitomo Caves,#dbd4b0,Waitomo Caves,,175.1103222,-38.2610936
Punga Cove,#42463e,Punga Cove,,174.15171,-41.1291371
Marine Parade,#3a3c36,Marine Parade,,174.7245538,-36.8468514
Basin Reserve,#5a5d56,Basin Reserve,,174.7802545,-41.30036
Mōrere,#aabda2,Mōrere,,177.788981,-38.959024
Mt Bruce,#525550,Mt Bruce,,171.6149716,-43.0537521
Middlemore,#576d61,Middlemore,,174.839071,-36.9630541
Kōpū,#757c49,Kōpū,,175.566059,-37.1855871
Manfeild,#698364,Manfeild,,175.560008,-40.2371227
Matauri Bay Double,#bab072,Matauri Bay,Double,173.9175349,-35.0332024
Mystery Creek,#b0b07b,Mystery Creek,,175.3489383,-37.8706892
Emerald Lakes,#4c785f,Emerald Lakes,,175.6545348,-39.1340074
Colac Bay,#4dc0a6,Colac Bay,,167.9149326,-46.3695508
Malaspina Reach,#b0c3ba,Malaspina Reach,,167.0045022,-45.3335459
Waitangi Half,#c9c3b5,Waitangi,Half,-176.561027,-43.9511999
Pororari River Quarter,#cdc3a7,Pororari River,Quarter,171.4138739,-42.13813
Lincoln,#343b37,Lincoln,,172.4860237,-43.6396099
Hutt River,#c8c1b1,Hutt River,,175.0637276,-41.115445
Murchison,#bbb4a4,Murchison,,172.3286812,-41.7995251
Kea Point,#345e61,Kea Point,,170.074111,-43.703306
Lake Ferry,#a39b87,Lake Ferry,,175.1469169,-41.3906208
Moana Reserve Half,#d6d8c9,Moana Reserve,Half,173.255641,-41.2814911
Moana Reserve Quarter,#e1e2d6,Moana Reserve,Quarter,174.6964701,-36.5859477
Wainui Beach,#9ab4ac,Wainui Beach,,174.7465825,-39.8634535
Waitangi Double,#afa491,Waitangi,Double,174.49104,-36.57555
Te Aroha,#838e75,Te Aroha,,175.7123669,-37.543149
Pt Chevalier,#427571,Pt Chevalier,,174.7080874,-36.8665285
Waitangi,#c2bba9,Waitangi,,175.686266,-39.449251
The Viaduct,#008e96,The Viaduct,,174.7606833,-36.8432042
Te Ānau,#7da3a2,Te Ānau,,167.717489,-45.41449
Pencarrow,#6c7a74,Pencarrow,,174.8500366,-41.3589028
Ōhai,#8b9188,Ōhai,,167.9519,-45.93266
Matamata,#b0a980,Matamata,,175.7732759,-37.8095635
Lakeside,#a9c7c3,Lakeside,,175.1488583,-37.4168978
Cuba Street,#b1c05e,Cuba Street,,174.886927,-41.2234813
Benmore Half,#ccdfdb,Benmore,Half,168.3322921,-45.98677
Dusky Forest,#6d6746,Dusky Forest,,169.1650575,-45.8295755
Waitiki Landing,#c0d5c9,Waitiki Landing,,172.8397091,-34.5166041
Rangipo,#9a886a,Rangipo,,175.290822,-37.132904
Te Waewae Half,#d9c7ab,Te Waewae,Half,167.519586,-46.2353109
Devonport,#f0efbf,Devonport,,174.7975377,-36.8297309
Church Road,#d4cd58,Church Road,,174.7803932,-36.9422933
Brookby,#dcd467,Brookby,,174.9946922,-36.9868478
Southbridge,#e3dc84,Southbridge,,172.2544396,-43.8119105
Dog Kennel Corner,#ebeaaf,Dog Kennel Corner,,170.5673484,-44.0964519
Silverstream,#e5e2bf,Silverstream,,175.0117941,-41.1489813
Invercargill,#665738,Invercargill,,168.3470632,-46.4118465
Waiōuru,#9c8752,Waiōuru,,175.6697752,-39.4772125
Longwood Forest,#dbd399,Longwood Forest,,167.814289,-46.2161271
Te Puna,#e2deae,Te Puna,,176.0746896,-37.6843423
Pigeon Bush,#c1b25c,Pigeon Bush,,172.3082281,-43.0913954
Clive,#96913a,Clive,,176.9154754,-39.5828238
Mayfield,#ede29a,Mayfield,,173.9536303,-41.5025971
Stewart Island,#f0eebe,Stewart Island,,167.882138,-46.9867197
Zalatown,#e4d066,Zalatown,,172.0726863,-41.7820916
Flaxmere,#f8f6df,Flaxmere,,176.7861708,-39.6250691
Sergeants Hill,#eada82,Sergeants Hill,,171.648159,-41.7608444
Waipara,#f2e9af,Waipara,,168.6818518,-44.3042729
Snells Beach,#bebc35,Snells Beach,,174.7239757,-36.4204774
Fort Street,#e9dd24,Fort Street,,174.7694062,-36.8461766
Dipton,#e5d398,Dipton,,168.3681178,-45.8999088
Desert Road,#ddc17e,Desert Road,,170.6934262,-45.8130893
Masterton,#bf9e4a,Masterton,,175.6594413,-40.9495524
Arrow River,#cfb059,Arrow River,,168.8175281,-44.858616
Hibiscus Coast,#dfc781,Hibiscus Coast,,174.7086237,-36.6095336
Te Rapa Half,#f0eacd,Te Rapa,Half,175.2339189,-37.7521378
Kaiwaka,#fbf0bf,Kaiwaka,,174.4435893,-36.1612116
Duntroon,#d6bf80,Duntroon,,170.6832097,-44.8538398
Wairoa,#f9f0d7,Wairoa,,177.4271389,-39.03939
Homer Tunnel,#b09337,Homer Tunnel,,167.981358,-44.7642164
Paihia,#ffe481,Paihia,,174.0920879,-35.2812407
Rotorua,#fcd33b,Rotorua,,176.252922,-38.1381493
Ōmāpere,#fdeeaf,Ōmāpere,,173.7952856,-35.3478251
Lochiel,#ffdd62,Lochiel,,168.33366,-46.20594
Waipawa,#fbd624,Waipawa,,176.589286,-39.9417436
Aotea Quay,#e5c53f,Aotea Quay,,174.7860527,-41.2688682
Lawrence,#e1bb2f,Lawrence,,169.6870009,-45.9129312
Cheddar Valley,#ebd9aa,Cheddar Valley,,177.104491,-38.0257401
Five Rivers,#5b4e39,Five Rivers,,168.4585884,-45.6234024
Pataua Beach,#d1bc92,Pataua Beach,,174.5185218,-35.7051978
Waihī,#a47d3f,Waihī,,175.8403538,-37.391462
Naseby,#8e6838,Naseby,,170.1460085,-45.0249757
Wairau,#cea663,Wairau,,173.5314071,-41.5635411
Kelvin Heights,#f6d37f,Kelvin Heights,,168.6876631,-45.0466397
Pukekawa,#ecddad,Pukekawa,,174.7760429,-36.8590138
Kamo,#c79535,Kamo,,174.3002928,-35.6822841
Blanket Bay,#f8f3e0,Blanket Bay,,170.589639,-45.833167
Carterton,#f9d464,Carterton,,175.5259467,-41.0243023
Koromiko,#fde599,Koromiko,,173.9620941,-41.3410959
Ōtorohanga,#fbeebf,Ōtorohanga,,175.2112083,-38.186037
Kōwhai Park,#f3c440,Kōwhai Park,,172.5099546,-43.4967643
Cape Kidnappers,#fcdc81,Cape Kidnappers,,177.0960028,-39.6428005
Fitzroy,#fcebae,Fitzroy,,175.3006245,-37.8154928
Tōtaranui,#eaddc0,Tōtaranui,,174.2729169,-41.1420637
Darfield,#c5ac7c,Darfield,,172.1087152,-43.4882301
Pyramid Valley,#caa66e,Pyramid Valley,,172.6012874,-42.9699729
Waikino,#5a4c39,Waikino,,175.7774876,-37.4104369
Lindale,#f8dfa9,Lindale,,175.0213117,-40.9020098
Whitcombe Valley,#7c6742,Whitcombe Valley,,171.0155157,-42.919123
Tāmaki,#dbb37a,Tāmaki,,175.0115426,-36.8482569
Houhora,#c89b59,Houhora,,173.1056202,-34.794711
Paekākāriki,#ead9b6,Paekākāriki,,174.9514432,-40.9883074
Macetown,#e9bc63,Macetown,,168.8201003,-44.8668516
Washdyke,#987444,Washdyke,,171.239831,-44.3574414
Glentunnel,#816440,Glentunnel,,171.9342317,-43.4815841
Kaiteriteri,#f6d27f,Kaiteriteri,,173.0166609,-41.0369592
Albury,#f5d593,Albury,,170.8728698,-44.2318201
Silverdale,#f9efd8,Silverdale,,175.3304609,-37.7933758
Manaia,#c58c37,Manaia,,174.5169905,-35.8183188
Lichfield,#fbe9bb,Lichfield,,175.8157468,-38.1040559
Torrent Bay,#efc87c,Torrent Bay,,173.0568568,-40.9465494
Granity,#5d4a38,Granity,,171.8549525,-41.6301692
Rai Valley,#d8c8a9,Rai Valley,,173.5834466,-41.2278927
Halfmoon Bay,#ebddbf,Halfmoon Bay,,168.1283778,-46.8979908
Moa Flat,#c5ab84,Moa Flat,,169.3056893,-45.7248019
West Melton,#7d603f,West Melton,,172.3735742,-43.5244331
Whale Bay,#e9d9c2,Whale Bay,,174.1101935,-35.1696051
Tōtaranui Half,#f0e2c8,Tōtaranui,Half,173.005058,-40.8224855
Pearl Island,#e7d78f,Pearl Island,,167.7089363,-47.1934909
Paeroa,#e6c089,Paeroa,,175.6704263,-37.3804671
Limehills Half,#d7c59b,Limehills,Half,168.3296911,-46.0583993
Gore,#42392f,Gore,,168.9447811,-46.0984482
Waipapakauri,#756042,Waipapakauri,,173.2276341,-35.0250402
Edendale Double,#c9bd9f,Edendale,Double,168.7850981,-46.3144058
Dunsandel,#c7b796,Dunsandel,,172.197083,-43.6610056
Edendale,#d7ccb2,Edendale,,172.3172871,-43.5287583
Dashwood Pass,#bd9369,Dashwood Pass,,174.053424,-41.6084695
Cape Rēinga Half,#d4bc90,Cape Rēinga,Half,172.6793483,-34.4201843
Collingwood Double,#dfcfb1,Collingwood,Double,172.6844307,-40.68202
Cape Rēinga,#cab181,Cape Rēinga,,172.6774681,-34.4265787
Gentle Annie,#d9d5ad,Gentle Annie,,173.4910039,-41.1670544
Ōmarama,#b7a07a,Ōmarama,,169.9655968,-44.487876
Kāpiti,#cbb992,Kāpiti,,170.0201251,-46.0680144
Te Waewae,#ccb798,Te Waewae,,176.2239533,-40.8741024
Ōmarama Double,#ae8e66,Ōmarama,Double,175.0183214,-38.163604
Shelly Beach,#ebd9aa,Shelly Beach,,174.3761172,-36.5702025
Pororari River,#b0a47e,Pororari River,,171.3397499,-42.1062204
Lambton Quay,#d5b966,Lambton Quay,,174.7777452,-41.2792158
Kereta,#e0c38e,Kereta,,175.435671,-36.9062725
Hagley Park,#fae5ab,Hagley Park,,172.6202505,-43.527621
Eskdale,#d2b995,Eskdale,,176.832106,-39.392223
Awatere,#d3b266,Awatere,,173.6500506,-41.8785896
Canvastown,#b6a167,Canvastown,,173.6704274,-41.2911692
Herbert,#9d7638,Herbert,,170.7875019,-45.2231962
Hinuera,#decc96,Hinuera,,175.7604638,-37.8821496
Victoria Street,#f6cd55,Victoria Street,,175.4740116,-37.8985675
Te Rapa,#ebe3be,Te Rapa,,175.223457,-37.734118
Port Ōhope,#deb45b,Port Ōhope,,177.1093318,-37.981849
Anaura Bay,#fcba2d,Anaura Bay,,178.3267366,-38.2333833
