ID,dir,lon,lat,x,y
0,.,11.2500000006288,58.282525589545,-428675.9000134339,1520343.527906854
1,.,-168.749999995428,58.282525583136795,-1197290.7625908456,7794188.0097036585
2,.,-168.750000000709,65.0900301560269,-1120150.698916286,7234575.179831663
3,.,-168.750000000843,72.07406810244709,-1048583.865097218,6613223.019159906
4,.,-168.750000001238,79.1899781183956,-973499.6158221497,5945572.268870271
5,.,-168.750000003448,86.38745577020651,-892969.352173868,5242144.124500113
6,.,11.250000003414499,86.38745577256,-807038.3341966618,4512500.721133302
7,.,11.2500000012043,79.1899781207881,-716485.5845984333,3766179.7145930165
8,.,11.2500000008094,72.07406810491429,-622414.4099019746,3012700.8100285637
9,.,11.250000000675001,65.0900301585985,-526061.0494261531,2261258.7931941818
10,.,-163.449259561259,61.6455076352999,-1524302.4960479764,7418993.744351916
11,.,-162.099232516228,68.42820258362549,-1417125.3078124654,6854442.288190964
12,.,-159.244021385252,75.390914939745,-1320809.6183858132,6224783.797757745
13,.,-150.689623124723,82.3823402141744,-1226696.169646702,5545991.924094769
14,.,-78.75000002560809,87.65534979093171,-1132335.454900762,4831125.86171838
15,.,-6.81037688024354,82.38234021618901,-1037488.2344462569,4092694.1266844706
16,.,1.74402138381145,75.390914941904,-942861.1383715224,3343086.302738785
17,.,4.5992325155031795,68.42820258590771,-849591.5160483416,2594254.1656874763
18,.,5.94925956109892,61.64550763562121,-758971.6400579128,1857159.4020300258
19,.,-161.313414080792,56.7358597590637,-1863219.208046041,7695281.6890710015
20,.,-156.990039326376,64.7223937569218,-1825673.1568168264,7035728.514415994
21,.,-153.40316425980498,71.4055877329348,-1692454.447226869,6464678.557200577
22,.,-145.05702783959498,78.1351410874667,-1574952.3539527457,5824726.4692506995
23,.,-116.557027082755,84.062544900049,-1465517.3547647882,5133492.367407618
24,.,-40.942972931333706,84.062544901178,-1361724.7998243377,4407617.992377791
25,.,-12.4429721641394,78.1351410892087,-1263372.4356523624,3663658.135755419
26,.,-4.096835741872789,71.40558773487871,-1171262.8579344845,2917689.4554176484
27,.,-0.509960673960852,64.7223937572281,-1086597.4725349706,2184411.8763273396
28,.,-162.165568936319,52.5833589677811,-1992304.1546268023,7957549.234298493
29,.,-155.81571341531298,59.7585569074557,-2148731.2527089985,7324854.117721558
30,.,-149.06574831016002,67.42522976486879,-2103432.6624105647,6644948.480550132
31,.,-141.97367106171498,73.8495458966174,-1947465.0491789225,6065951.980211454
32,.,-124.58489244929599,79.84138096574691,-1812591.9437271743,5413341.203629979
33,.,-78.7500000064322,82.9884517635243,-1692621.1908115419,4708453.794259708
34,.,-32.915107557107504,79.841380966896,-1585655.7057619442,3973607.065348454
35,.,-15.526328941126401,73.8495458981517,-1491799.70347347,3231154.7036422496
36,.,-8.43425169040667,67.4252297651366,-1411954.3748644628,2501709.964862901
37,.,-154.607565378077,54.807554636179106,-2567723.191025531,7530474.314768992
38,.,-148.999335255168,62.435851773104496,-2435711.1805239827,6936082.322834083
