"regions1","regions2","regions3","regions4","regions5","regions6","regions7","regions8","regions9","regions10","regions11","regions12","regions13","regions14","regions15","regions16","regions17","regions18","regions19","regions20","regions21","regions22","regions23","regions24","regions25","regions26","regions27","regions28","regions29","regions30","regions31","regions32","regions33","regions34","regions35","regions36","regions37","regions38","regions39","regions40","regions41","regions42","regions43","regions44","regions45","regions46","regions47","regions48","regions49","regions50"
10,10,10,10,10,10,10,32,10,10,10,10,10,10,10,10,10,10,10,4,4,10,10,10,10,10,10,10,10,32,10,10,10,10,10,10,10,10,10,10,10,32,32,10,10,10,10,10,10,10
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,10,10,32,32,32,32,32,32,32,32,32,32,32,32,32,32,10,32,32,32,32,10,32,32,32,10,32,32,32,32,10,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,10,32,32,32,32,32,32,32,32,32
5,11,11,11,11,11,11,11,11,11,11,5,11,11,11,11,11,5,11,11,5,5,5,11,11,11,11,11,11,11,5,11,11,11,11,11,11,11,5,11,11,11,11,11,5,11,11,5,11,11
5,11,5,5,5,5,5,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,5,11,5,5
11,11,5,11,11,11,11,5,11,11,11,5,5,5,11,11,5,5,11,11,11,11,5,11,11,11,11,11,11,11,24,11,11,11,5,5,11,11,5,11,11,5,11,11,11,11,11,11,11,11
11,24,11,11,24,24,11,11,11,11,11,11,11,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,11,11,11,11,11,11,11,11,24,11,11,11,11,11,11,11,24,11,11
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,11,24,24,24,24,24,24,24,11,24,24,24,24,24,24,24,24,24,11,24,24,24,24,24,11,24,24,24,24,24,24
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,11,24,24,11,24,24,24,24
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
10,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
24,24,25,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,24,24,24,25,24,24,24,24,24,24
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,10,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,25,25,25,25,25,25,25,25,25,25
25,25,25,10,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,10,25,25,25,10,25,25,25,25,10,25,25,25,10,25,10,25,25,10,25,25,10,25,25,25,25,25,10,25,25
25,25,25,25,25,25,25,25,25,10,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,25,25
25,25,10,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,25,25,25,10,25,25,25,25,10,25
25,25,25,10,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,25,25,25,25,25,25,10,25,10,25,25,25,25,25,25,25,10
10,10,25,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,25,25,10,10,10,25,10,10,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,25,10,10,25,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,25,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,25,10,10
10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,4
4,10,10,10,10,10,10,10,10,10,10,10,10,10,4,10,4,10,10,10,4,10,10,10,10,4,10,10,10,10,10,4,10,10,10,10,10,10,10,4,10,10,10,4,10,10,10,10,10,10
4,4,4,4,4,4,4,10,4,4,4,4,4,4,4,10,4,4,4,10,4,4,10,4,10,10,4,4,4,4,4,10,4,4,4,4,4,4,4,4,4,4,4,10,4,10,10,4,4,4
10,4,4,10,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,10,4,10,10,4,10,4,4,4,4,10,4,4,4,4,4,4,10,4,4,4,4,10,4,4,4,4,4,4,4,4
10,4,4,4,4,4,4,10,4,4,4,4,4,4,10,4,4,4,4,10,4,4,4,4,10,4,4,4,4,4,4,4,4,4,4,10,4,10,4,10,4,4,4,4,10,4,4,4,4,4
10,10,10,4,10,10,10,10,10,10,10,10,4,10,10,10,4,10,4,10,10,4,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,4,10,10,10,4,10,4,10,10,10,4
10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,32,4,4,4,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,4,4,4,4
4,4,4,32,4,32,4,4,4,4,4,32,4,4,4,10,10,4,4,4,4,32,4,4,4,32,4,4,4,4,4,4,4,4,4,4,10,10,4,4,32,4,10,4,4,4,4,4,4,10
32,32,32,32,32,32,32,32,32,32,32,32,4,32,32,32,10,32,10,4,4,32,32,32,32,32,32,32,10,32,32,32,4,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,10,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,10,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
5,5,11,5,5,11,5,5,5,5,11,5,5,5,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,5,5,5,11,11,5,11,5,11,5,11,5,11,5,5,5,11
5,5,5,5,5,11,5,5,5,5,5,5,5,5,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,5,5,5,5,5,5,5,5,5,11
5,5,5,5,5,5,5,5,5,5,5,11,5,5,5,5,11,11,5,5,11,5,11,5,5,11,5,5,5,5,11,5,5,5,5,5,5,5,5,5,5,11,5,5,5,5,11,5,5,5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,11,5,5,11,11,11,11,11,11,11,11,5,5,11,11,11,11
11,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,11,11,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,24,11,11,11,11,11,11
24,24,11,24,24,24,24,24,24,24,11,24,24,24,11,24,24,24,24,11,24,11,24,24,24,24,24,11,24,11,24,24,24,24,24,24,24,24,24,24,11,24,11,24,24,11,24,11,24,24
24,24,11,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,11,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,11,24,24,11,24,24,24,24
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,11,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
10,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,11,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
24,24,25,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,24,24,24,24
24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,7,24,24,24,25,25,25,24,24,24,24,24,24,24,24,10,24,24,24,24,24,24,24,24,25,24,24,24,24,25,24,24,24,24,24
7,25,24,25,25,24,25,25,25,25,25,25,25,25,25,7,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,7,25,7,25,25,25
7,25,24,25,25,25,25,25,25,25,25,25,25,25,25,7,25,25,7,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,7,7,25,7,25,7,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,7,25,25,25,25,7,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,25,25,25,10,25,25,25,25,10,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,25,25,25,25,25,13,25,25,25,25,25,13,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,25,25,25,10,25,25,25,25,13,10,25,25,25,10,13,10,25,25,10,25
10,10,10,10,10,10,10,10,25,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,25,25,10,10,10,10,10,10,10,25,10,10,10,10,10,10,10,25,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,10,25,10,10
10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,10,10,10,10,4,10,10,10,4,10,13,10,10,10,10,10,10,10,10,10,4,10,10,10,10,10,10,10,10
4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,10,4,4,4,4,10,4,10,4,10,4,4,4,4,4,4,4,4,4,4,10,4,4,4,4,4,4,10,4,4,4,4,4,4
4,4,4,4,4,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,10,4,4,4,4,4,4,4
4,4,4,4,1,1,4,4,1,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,1,4,1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4
4,32,32,4,32,32,32,32,32,32,32,32,32,4,4,32,10,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,4,32,32,32,32,32,32,32,32,32,4,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,4,32,32,10,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,4,32,32,32,32,32,32,32,32,32,4,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,10,32,32,32,32,32,32,32,32,32,32,32,32,32,32,4,32,32,32,32,32,32,32,32,32,4,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
5,5,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11
5,5,5,5,5,5,5,5,5,11,5,11,5,11,5,5,5,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,5,5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,11,11,5,11,11,11,11,5,11,11,11,11,11,11,11,11,11,5,11,11,11,5,5,11,5,11,11,11,11,5,5,11,11,11,5
24,11,24,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
24,24,24,24,24,24,11,11,24,24,24,11,24,11,24,24,24,11,24,11,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,11,11,24,24,24,24,24,24,11,24,24,24,11
24,24,24,24,11,11,11,24,24,24,24,11,24,24,24,24,24,24,11,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,11,24,24,24,24,24,24,24,11,24,24,24,11
24,24,24,24,24,24,11,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
24,24,25,24,24,24,24,24,24,24,24,24,24,11,24,24,24,24,24,11,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,24,24,24,24
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
7,24,24,25,24,24,24,24,24,7,24,24,24,24,25,7,24,24,24,25,24,7,24,24,24,7,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24
7,7,25,7,7,7,7,24,7,7,7,25,7,7,7,25,25,7,7,7,7,7,7,7,7,7,7,24,7,25,7,7,25,7,7,7,7,25,7,24,7,7,7,7,7,24,7,24,7,7
7,25,25,25,25,25,25,25,25,7,25,25,25,25,25,25,25,25,25,25,25,25,25,7,25,25,25,25,25,7,25,25,25,7,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,7,25,25,25,25,25,7,25,25,25,25,25,25,25,25,25,25,25,25,25,7,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,7,25,25,25,25,25,7,25,25,25,25,25,25,25,25,13,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,13,25,25,25,25,25,13,25,25,25,25,25
25,13,25,25,25,13,25,25,25,25,25,25,13,25,25,25,25,25,13,25,25,25,25,25,25,25,25,13,25,25,25,25,25,25,25,25,25,25,13,25,25,25,25,25,13,13,25,10,10,25
10,10,10,10,10,10,10,10,13,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,4,10,10,10,10
10,10,10,10,4,10,10,10,10,10,10,10,10,13,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,10,10,4,13,4,10,10,4,10,10,4,10,10,10,4
4,4,4,10,4,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4,10,4,10,4,4,4,4,4,4,13,10,4,4,4,4,4,4,4,4,10,4,4,4,4,10,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1,4,4,1,4,4,4,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,1,4,4
1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1
4,1,1,1,4,4,1,1,4,1,1,1,4,1,1,1,1,1,4,1,1,4,1,1,1,4,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1
1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,1,1,32,1,1,1,32,1,1,1,1,1,1,1,1,1
1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,32,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,32,32,32,1,32,1,1,1,32,1,1,1,1,1,1,1,1,1
32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,1,32,1,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,1,1,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,10,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,10,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,5,11,5,5,5,11
5,5,11,5,5,5,5,5,5,5,11,5,5,5,5,5,5,11,5,5,5,5,5,11,5,5,5,5,5,5,5,5,11,5,5,5,11,11,5,5,5,5,5,11,5,11,11,11,5,5
11,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,11,11,11,11,11,5,11,11,11,11,11,11,11,5,11,11,11,11,11,11,11,5,11,11,11,11,11,11,11,5,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,24,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,11,24,11,24,11,24,11,11,11,11,11,11,11,11,11,11,24,11,11,11,11,11,11,11,11,24,24,11,11,11,24,11,11
24,24,24,24,11,11,24,24,24,24,11,24,24,11,24,24,24,24,11,24,24,24,24,24,24,24,24,11,24,24,11,24,24,11,24,24,24,24,11,24,24,24,24,24,24,24,24,24,24,11
